City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
91,qamdo,31.1667,97.2333,-0.7799999999999727,46,74,0.19,CN,1699711379
92,ilulissat,69.2167,-51.1,-7.989999999999952,53,40,4.12,GL,1699711379
93,college,64.8569,-147.8028,-14.289999999999964,98,82,0.55,US,1699711379
94,ulsteinvik,62.3432,5.8487,6.710000000000036,69,35,2.47,NO,1699711379
95,hirara,24.8,125.2833,23.150000000000034,94,75,7.72,JP,1699711379
96,melfort,52.8667,-104.6177,-3.92999999999995,80,5,8.23,CA,1699711379
97,the dalles,45.5946,-121.1787,12.370000000000005,76,75,2.57,US,1699711157
98,kolonia,50.9333,6.95,10.590000000000032,78,20,8.23,DE,1699711247
99,nova sintra,14.8667,-24.7167,22.450000000000045,70,92,4.13,CV,1699711380
100,port mathurin,-19.6833,63.4167,25.53000000000003,79,26,4.47,MU,1699711380
101,papatowai,-46.5619,169.4708,10.210000000000036,68,100,3.08,NZ,1699711380
102,acarau,-2.8856,-40.12,27.220000000000027,73,5,10.49,BR,1699711271
103,ajdabiya,30.7554,20.2263,27.370000000000005,29,11,3.66,LY,1699711380
104,constantia,44.1833,28.65,14.379999999999995,61,100,7.11,RO,1699711380
105,hermanus,-34.4187,19.2345,18.600000000000023,69,0,7.48,ZA,1699711380
106,tambacounda,13.7539,-13.7586,37.03000000000003,22,8,3.09,SN,1699711380
107,puerto ayora,-0.7393,-90.3518,25.860000000000014,86,78,3.13,EC,1699711380
108,xinzhou,38.4092,112.7333,-1.349999999999966,26,0,3.71,CN,1699711380
109,plettenberg bay,-34.0527,23.3716,19.58000000000004,67,33,5.63,ZA,1699711381
110,lospalos,-8.5186,127.0025,22.180000000000007,89,80,0.91,TL,1699711381
111,flying fish cove,-10.4217,105.6791,25.82000000000005,83,75,4.63,CX,1699711381
112,bereznik,62.8551,42.7072,1.2100000000000364,99,100,1.62,RU,1699711381
113,kirensk,57.7853,108.1119,-10.019999999999982,88,58,1.34,RU,1699711381
114,tutoia,-2.7619,-42.2744,30.33000000000004,54,7,7.23,BR,1699711381
115,hammerfest,70.6634,23.6821,-0.75,86,75,1.54,NO,1699711381
116,ardakan,32.31,54.0175,20.810000000000002,23,1,3.2,IR,1699711381
117,la passe,45.5549,-0.8967,14.129999999999995,82,100,3.55,FR,1699711382
118,bredasdorp,-34.5322,20.0403,21.450000000000045,48,9,9.78,ZA,1699711382
119,uliastay,47.7417,96.8444,-15.25,56,19,3.37,MN,1699711382
120,midar,34.9403,-3.5331,21.650000000000034,40,14,1.29,MA,1699711382
121,ariquemes,-9.9133,-63.0408,32.60000000000002,49,93,1.72,BR,1699711331
122,stephenville,32.2207,-98.2023,12.439999999999998,77,100,1.54,US,1699711382
123,brisas de zicatela,15.8369,-97.0419,26.79000000000002,75,31,1.29,MX,1699711382
124,carnarvon,-24.8667,113.6333,20.75,74,4,6.51,AU,1699711383
125,hammonton,39.6365,-74.8024,7.660000000000025,68,100,2.49,US,1699711383
126,ust-nera,64.5667,143.2,-32.76999999999998,99,64,1.96,RU,1699711383
127,villa comaltitlan,15.2167,-92.5833,27.49000000000001,68,50,0.75,MX,1699711383
128,saint-francois,46.4154,3.9054,11.689999999999998,67,0,2.57,FR,1699711383
129,essaouira,31.5125,-9.77,25.720000000000027,44,7,4.12,MA,1699711383
130,treasure island,27.7692,-82.769,27.03000000000003,83,0,0.45,US,1699711384
131,dryden,49.7833,-92.7503,-2.839999999999975,86,100,3.09,CA,1699711384
132,el calafate,-50.3408,-72.2768,3.400000000000034,85,100,6.09,AR,1699711384
133,leticia,-4.2153,-69.9406,28.03000000000003,89,40,1.54,CO,1699711375
134,geraldton,-28.7667,114.6,20.230000000000018,88,68,4.12,AU,1699711384
135,fale old settlement,-9.3852,-171.2468,28.77000000000004,74,14,3.22,TK,1699711385
136,tsafe,11.9553,6.9223,35.5,12,97,3.39,NG,1699711385
137,griffith,41.5284,-87.4237,5.03000000000003,89,0,0.0,US,1699711213
138,piacabucu,-10.4056,-36.4344,29.57000000000005,53,56,5.67,BR,1699711385
139,afaahiti,-17.75,-149.2833,25.930000000000007,81,66,6.39,PF,1699711385
140,robore,-18.3333,-59.75,39.35000000000002,26,15,7.29,BO,1699711386
141,mariental,-24.6333,17.9667,36.33000000000004,10,100,4.46,NA,1699711386
142,puerto aysen,-45.4,-72.7,5.75,100,100,1.83,CL,1699711386
143,mae sai,20.4335,99.8762,22.970000000000027,91,37,0.9,TH,1699711386
144,beira,-19.8436,34.8389,29.05000000000001,62,20,5.81,MZ,1699711387
145,sorong,-0.8833,131.25,26.80000000000001,84,55,3.19,ID,1699711387
146,haiku-pauwela,20.9219,-156.3051,24.470000000000027,72,10,4.47,US,1699711387
147,katsuura,35.1333,140.3,13.960000000000036,71,100,6.59,JP,1699711388
148,carutapera,-1.195,-46.02,31.08000000000004,55,18,5.72,BR,1699711388
149,hawaiian paradise park,19.5933,-154.9731,22.160000000000025,93,61,1.52,US,1699711388
150,cafayate,-26.073,-65.9761,29.689999999999998,11,0,1.92,AR,1699711389
151,urzhar,47.093,81.6294,5.680000000000007,76,31,3.58,KZ,1699711389
152,udachny,66.4167,112.4,-13.560000000000002,86,13,3.79,RU,1699711389
153,campo de criptana,39.4046,-3.1249,17.110000000000014,64,100,7.98,ES,1699711390
154,shache,38.4167,77.2406,9.260000000000048,29,57,3.51,CN,1699711390
155,dannenberg,53.0967,11.09,7.860000000000014,82,100,3.33,DE,1699711390
156,luderitz,-26.6481,15.1594,22.02000000000004,56,0,13.49,NA,1699711390
157,hamilton,39.1834,-84.5333,5.28000000000003,80,1,0.89,US,1699711259
158,nogliki,51.8333,143.1667,-7.029999999999973,81,97,8.05,RU,1699711391
159,miringa,10.7312,12.1463,35.24000000000001,15,78,2.94,NG,1699711391
160,alma,48.5501,-71.6491,-2.7199999999999704,89,97,5.07,CA,1699711391
161,anqing,30.5092,117.0506,10.170000000000016,86,100,5.88,CN,1699711392
162,abepura,-2.6333,140.5833,27.450000000000045,83,20,1.03,ID,1699711392
163,katsuren-haebaru,26.3369,127.8719,23.010000000000048,78,100,6.74,JP,1699711393
164,stanley,54.868,-1.6985,8.620000000000005,74,40,3.09,GB,1699711393
165,castillos,-34.1667,-53.8333,23.680000000000007,82,83,3.89,UY,1699711394
166,undurkhaan,47.3194,110.6556,-17.899999999999977,91,12,1.49,MN,1699711394
167,klaksvik,62.2266,-6.589,5.510000000000048,69,76,5.37,FO,1699711394
168,kuang,3.2594,101.5541,28.840000000000032,79,20,1.54,MY,1699711394
169,talcahuano,-36.7167,-73.1167,10.830000000000041,90,100,8.36,CL,1699711395
170,jamestown,42.097,-79.2353,6.1200000000000045,87,100,2.57,US,1699711396
171,enewetak,11.3474,162.3373,28.150000000000034,75,94,6.07,MH,1699711396
172,howrah,22.5892,88.3103,27.0,65,0,2.06,IN,1699711270
173,rongelap,11.1635,166.8941,27.430000000000007,82,98,8.25,MH,1699711396
174,faaa,-17.55,-149.6,26.980000000000018,74,75,4.63,PF,1699711396
175,hailar,49.2,119.7,-23.579999999999984,100,73,0.65,CN,1699711396
176,noyabrsk,63.1994,75.4507,0.12999999999999545,95,100,5.81,RU,1699711397
177,heze,35.2431,115.4411,3.0300000000000296,60,1,2.09,CN,1699711397
178,rome,34.257,-85.1647,11.930000000000007,93,100,3.09,US,1699710846
179,iskateley,67.6803,53.1512,-4.989999999999952,94,100,8.05,RU,1699711397
180,kapuskasing,49.4169,-82.4331,-3.9499999999999886,93,100,1.54,CA,1699711243
181,la'ie,21.6477,-157.9253,25.340000000000032,77,13,1.34,US,1699711397
182,ulety,51.3572,112.4849,-13.560000000000002,96,14,1.81,RU,1699711397
183,loiza,18.4313,-65.8802,30.27000000000004,79,60,7.34,PR,1699711397
184,marat,25.0701,45.4615,25.510000000000048,23,97,3.16,SA,1699711398
185,lebu,-37.6167,-73.65,9.25,82,100,8.11,CL,1699711398
186,ilhabela,-23.7781,-45.3581,28.560000000000002,70,14,3.17,BR,1699711398
